ProductoID;Producto;CategoriaID;Marca;Subcategoria;CostoUnitario;PrecioLista;EstadoProducto
PROD0001;Calefactores Modelo 001;CAT04;TempMax;Calefactores;$ 694.325,00;$ 928.224,13;Activo
PROD0002;Microondas Modelo 002;CAT02;FrostLine;Lavarropas;$ 862.953,00;$ 1.283.031,27;Activo
PROD0003;Mesas Modelo 003;CAT05;UrbanHome;Mesas;$ 258.223,00;$ 390.134,78;Activo
PROD0004;Calefactores Modelo 004;CAT04;TempMax;Calefactores;$ 596.634,00;$ 885.297,54;Activo
PROD0005;Calefactores Modelo 005;CAT04;AirFlow;Calefactores;$ 110.594,00;$ 146.581,20;Activo
PROD0006;Textil Modelo 006;CAT03;DreamRest;Almohadas;$ 404.942,00;$ 518.008,13;Activo
PROD0007;Smart TV Modelo 007;CAT01;SoundMax;Notebooks;$ 657.826,00;$ 888.099,02;Activo
PROD0008;Ventiladores Modelo 008;CAT04;AirFlow;Calefactores;$ 150.976,00;$ 219.972,29;Activo
PROD0009;Ventiladores Modelo 009;CAT04;AirFlow;Aires Acondicionados;$ 223.002,00;$ 296.718,18;Activo
PROD0010;Herramientas Modelo 010;CAT06;FixPro;Soportes;$ 75.474,00;$ 98.049,55;Activo
PROD0011;Herramientas Modelo 011;CAT06;FixPro;Fundas;$ 67.902,00;$ 106.455,42;Activo
PROD0012;Soportes Modelo 012;CAT06;Connect;Cables;$ 11.308,00;$ 16.638,25;Activo
PROD0013;Notebooks Modelo 013;CAT01;Vision;Audio;$ 107.638,00;$ 162.044,86;Activo
PROD0014;Cocinas Modelo 014;CAT02;FrostLine;Heladeras;$ 494.014,00;$ 758.478,43;Activo
PROD0015;Ventiladores Modelo 015;CAT04;AirFlow;Ventiladores;$ 412.494,00;$ 578.678,68;Activo
PROD0016;Racks Modelo 016;CAT05;DecoLine;Sillones;$ 161.694,00;$ 235.979,00;Activo
PROD0017;Sillones Modelo 017;CAT05;MobiCasa;Sillas;$ 385.317,00;$ 551.997,61;Activo
PROD0018;Cocinas Modelo 018;CAT02;HomePlus;Cocinas;$ 738.346,00;$ 1.073.213,98;Activo
PROD0019;Sillas Modelo 019;CAT05;MobiCasa;Sillones;$ 339.531,00;$ 431.518,87;Descontinuado
PROD0020;Aires Acondicionados Modelo 020;CAT04;ClimaPro;Ventiladores;$ 405.246,00;$ 533.105,91;Activo
PROD0021;Cocinas Modelo 021;CAT02;HomePlus;Microondas;$ 752.620,00;$ 1.034.454,24;Activo
PROD0022;Textil Modelo 022;CAT03;DreamRest;Colchones;$ 141.606,00;$ 182.368,90;Activo
PROD0023;Microondas Modelo 023;CAT02;Electra;Microondas;$ 865.908,00;$ 1.131.793,23;Activo
PROD0024;Cables Modelo 024;CAT06;ToolBox;Cables;$ 27.282,00;$ 38.290,11;Activo
PROD0025;Notebooks Modelo 025;CAT01;NovaTech;Smart TV;$ 708.479,00;$ 936.640,77;Activo
PROD0026;Smart TV Modelo 026;CAT01;Vision;Audio;$ 610.791,00;$ 864.669,21;Activo
PROD0027;Cocinas Modelo 027;CAT02;HomePlus;Microondas;$ 222.804,00;$ 282.814,16;Activo
PROD0028;Racks Modelo 028;CAT05;UrbanHome;Mesas;$ 108.655,00;$ 166.770,72;Activo
PROD0029;Notebooks Modelo 029;CAT01;PixelOne;Celulares;$ 481.869,00;$ 610.585,78;Activo
PROD0030;Audio Modelo 030;CAT01;NovaTech;Smart TV;$ 310.009,00;$ 426.427,22;Activo
PROD0031;Lavarropas Modelo 031;CAT02;KitchPro;Cocinas;$ 193.494,00;$ 289.082,80;Activo
PROD0032;Ventiladores Modelo 032;CAT04;TempMax;Aires Acondicionados;$ 589.630,00;$ 929.464,88;Activo
PROD0033;Cables Modelo 033;CAT06;Connect;Herramientas;$ 62.579,00;$ 98.885,65;Activo
PROD0034;Calefactores Modelo 034;CAT04;TempMax;Ventiladores;$ 647.511,00;$ 888.062,66;Activo
PROD0035;Fundas Modelo 035;CAT06;FixPro;Herramientas;$ 103.762,00;$ 149.950,36;Activo
PROD0036;Notebooks Modelo 036;CAT01;Vision;Audio;$ 496.749,00;$ 629.825,78;Activo
PROD0037;Celulares Modelo 037;CAT01;Vision;Audio;$ 399.021,00;$ 540.474,06;Activo
PROD0038;Herramientas Modelo 038;CAT06;FixPro;Soportes;$ 32.241,00;$ 42.060,58;Activo
PROD0039;Celulares Modelo 039;CAT01;Vision;Notebooks;$ 359.480,00;$ 543.846,82;Activo
PROD0040;Cocinas Modelo 040;CAT02;KitchPro;Heladeras;$ 182.154,00;$ 254.996,04;Activo
PROD0041;Microondas Modelo 041;CAT02;KitchPro;Cocinas;$ 201.728,00;$ 313.732,06;Activo
PROD0042;Herramientas Modelo 042;CAT06;Connect;Cables;$ 99.733,00;$ 158.067,19;Activo
PROD0043;Celulares Modelo 043;CAT01;Vision;Audio;$ 510.789,00;$ 695.857,45;Activo
PROD0044;Colchones Modelo 044;CAT03;SoftHome;Organización;$ 138.314,00;$ 205.817,12;Activo
PROD0045;Fundas Modelo 045;CAT06;Connect;Cables;$ 77.926,00;$ 110.093,71;Activo
PROD0046;Notebooks Modelo 046;CAT01;SoundMax;Celulares;$ 689.522,00;$ 965.334,95;Descontinuado
PROD0047;Textil Modelo 047;CAT03;Confort;Colchones;$ 310.546,00;$ 388.812,14;Activo
PROD0048;Lavarropas Modelo 048;CAT02;Electra;Heladeras;$ 155.148,00;$ 234.023,28;Activo
PROD0049;Smart TV Modelo 049;CAT01;PixelOne;Notebooks;$ 552.938,00;$ 794.517,28;Activo
PROD0050;Mesas Modelo 050;CAT05;MobiCasa;Racks;$ 186.033,00;$ 290.259,77;Activo
PROD0051;Audio Modelo 051;CAT01;NovaTech;Audio;$ 673.237,00;$ 916.809,61;Activo
PROD0052;Smart TV Modelo 052;CAT01;PixelOne;Notebooks;$ 459.664,00;$ 669.650,45;Activo
PROD0053;Organización Modelo 053;CAT03;Confort;Organización;$ 92.388,00;$ 145.109,00;Activo
PROD0054;Soportes Modelo 054;CAT06;ToolBox;Cables;$ 70.807,00;$ 103.715,79;Activo
PROD0055;Aires Acondicionados Modelo 055;CAT04;AirFlow;Aires Acondicionados;$ 645.134,00;$ 938.291,75;Activo
PROD0056;Ventiladores Modelo 056;CAT04;AirFlow;Aires Acondicionados;$ 242.486,00;$ 358.885,64;Descontinuado
PROD0057;Fundas Modelo 057;CAT06;Connect;Herramientas;$ 67.389,00;$ 88.472,31;Activo
